comment_id,parent_id,depth,name,is_creator,content,created_at,url,raw
6973102,,0,Julia_Sharwood,no,SJIODFJSDJISFSDFJSDESRBJKSEBJKRBJKSE    I'm inspired by your passion and follow through with what you care about! Legend.,2013-07-12T03:15:28Z,https://www.indiegogo.com//projects/the-desert-kit-fox-project#/,"{""authorID"": 3757761, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6973102, ""commentThreadID"": 1213643, ""createdAt"": ""2013-07-12T03:15:28Z"", ""editedAt"": ""2013-07-12T03:15:28Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""SJIODFJSDJISFSDFJSDESRBJKSEBJKRBJKSE\r\n\r\nI'm inspired by your passion and follow through with what you care about! Legend."", ""userComment"": null}"
6973101,,0,,no,Happy 26th!,2013-07-11T20:06:33Z,https://www.indiegogo.com//projects/the-desert-kit-fox-project#/,"{""authorID"": 3755327, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6973101, ""commentThreadID"": 1213643, ""createdAt"": ""2013-07-11T20:06:33Z"", ""editedAt"": ""2013-07-11T20:06:33Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Happy 26th!"", ""userComment"": null}"
6973099,,0,,no,I watched the youtube vid of the Google Hangout  with Chris Clarke you did last night and was inspired to give a small contribution.,2013-07-08T17:55:40Z,https://www.indiegogo.com//projects/the-desert-kit-fox-project#/,"{""authorID"": 3722334, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6973099, ""commentThreadID"": 1213643, ""createdAt"": ""2013-07-08T17:55:40Z"", ""editedAt"": ""2013-07-08T17:55:40Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I watched the youtube vid of the Google Hangout  with Chris Clarke you did last night and was inspired to give a small contribution."", ""userComment"": null}"
6973097,,0,,no,Yo are welcome Dipika. I hope you reach your target and good luck....,2013-06-14T11:00:36Z,https://www.indiegogo.com//projects/the-desert-kit-fox-project#/,"{""authorID"": 3434978, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6973097, ""commentThreadID"": 1213643, ""createdAt"": ""2013-06-14T11:00:36Z"", ""editedAt"": ""2013-06-14T11:00:36Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Yo are welcome Dipika. I hope you reach your target and good luck...."", ""userComment"": null}"
6973095,,0,Frank_Fleming,no,Sounds like a great project.  I look forward to the updates.   Good Luck!,2013-05-27T15:05:18Z,https://www.indiegogo.com//projects/the-desert-kit-fox-project#/,"{""authorID"": 3001520, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6973095, ""commentThreadID"": 1213643, ""createdAt"": ""2013-05-27T15:05:18Z"", ""editedAt"": ""2013-05-27T15:05:18Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Sounds like a great project.  I look forward to the updates. \r\nGood Luck!"", ""userComment"": null}"
6973093,,0,,no,Don't get lost.,2013-05-24T19:18:53Z,https://www.indiegogo.com//projects/the-desert-kit-fox-project#/,"{""authorID"": 3259030, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6973093, ""commentThreadID"": 1213643, ""createdAt"": ""2013-05-24T19:18:53Z"", ""editedAt"": ""2013-05-24T19:18:53Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Don't get lost."", ""userComment"": null}"
6973090,,0,Kevin_Boyce,no,"Directed here by Chris Clarke.  Kit foxes and science, plus a GoPro!  How can I say no?",2013-05-24T02:32:03Z,https://www.indiegogo.com//projects/the-desert-kit-fox-project#/,"{""authorID"": 440781, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6973090, ""commentThreadID"": 1213643, ""createdAt"": ""2013-05-24T02:32:03Z"", ""editedAt"": ""2013-05-24T02:32:03Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Directed here by Chris Clarke.  Kit foxes and science, plus a GoPro!  How can I say no?"", ""userComment"": null}"
