sortId,link,status,comment_count,actual_count,备注
73,https://www.indiegogo.com//projects/30th-anniversary-celebration-of-time-traveler--2#/,pending,0,0,
74,https://www.indiegogo.com//projects/31-days-of-giving-cervical-cancer-awareness-month#/,pending,0,0,
75,https://www.indiegogo.com//projects/3500-pounds-to-save-nitin-s-life#/,pending,0,0,
76,https://www.indiegogo.com//projects/3d-mechanical-finger-project#/,pending,0,0,
77,https://www.indiegogo.com//projects/3d-printed-table-jewelry-prototypes#/,pending,0,0,
78,https://www.indiegogo.com//projects/3d-printer-ready-to-ship-now#/,pending,0,0,
79,https://www.indiegogo.com//projects/3d-reconstructions#/,pending,0,0,
80,https://www.indiegogo.com//projects/3dmotion-smart-sensor-for-active-sports#/,pending,0,0,
81,https://www.indiegogo.com//projects/3dracers-3d-printed-game-smartphone-controlled#/,pending,0,0,
82,https://www.indiegogo.com//projects/3dsimo-multipro-one-tool-to-rule-them-all#/,pending,0,0,
83,https://www.indiegogo.com//projects/3in1-usb-designed-cable#/,pending,0,0,
84,https://www.indiegogo.com//projects/3max-support-new-medical-device-for-diabetic-patients-with-foot-ulcers#/,pending,0,0,
85,https://www.indiegogo.com//projects/3times3greek-going-green-one-sorority-and-fraternity-at-a-time#/,pending,0,0,
86,https://www.indiegogo.com//projects/4-0-technology-to-free-forests-collectively#/,pending,0,0,
87,https://www.indiegogo.com//projects/4-challenges-for-ireland-s-children-s-hospice#/,pending,0,0,
88,https://www.indiegogo.com//projects/4-maps-of-paddling-in-n-b#/,pending,0,0,
89,https://www.indiegogo.com//projects/40-hours-and-a-bike-youth-earn-a-bicycle-program#/,pending,0,0,
90,https://www.indiegogo.com//projects/404-interactive-puzzle-book#/,pending,0,0,
91,https://www.indiegogo.com//projects/420-edition-playing-cards-witty-games-co#/,pending,0,0,
92,https://www.indiegogo.com//projects/42km-for-casa-nuestra#/,pending,0,0,
93,https://www.indiegogo.com//projects/442-community-soccer-school#/,pending,0,0,
94,https://www.indiegogo.com//projects/444owl-wallet-minimalist-wallet-for-2020#/,pending,0,0,
95,https://www.indiegogo.com//projects/4another-coast-2-coast-4-children#/,pending,0,0,
96,https://www.indiegogo.com//projects/4d-educational-colouring-books-featuring-ar-vr#/,pending,0,0,
97,https://www.indiegogo.com//projects/4eyes#/,pending,0,0,
98,https://www.indiegogo.com//projects/4th-battalion-meat-stix-fundraiser-challenge#/,pending,0,0,
99,https://www.indiegogo.com//projects/5-flags-for-lgbtq-allies#/,pending,0,0,
100,https://www.indiegogo.com//projects/5-for-1-in-5-naesv-2014-fundraiser-to-end-sexual-violence#/,pending,0,0,
101,https://www.indiegogo.com//projects/5-for-fatimah#/,pending,0,0,
102,https://www.indiegogo.com//projects/5-head-3d-printer-for-baby-boomer-business#/,pending,0,0,
103,https://www.indiegogo.com//projects/5-rivers-odyssey#/,pending,0,0,
104,https://www.indiegogo.com//projects/5-tierras#/,pending,0,0,
105,https://www.indiegogo.com//projects/5-year-old-sean-has-cancer#/,pending,0,0,
