sortId,link,status,comment_count,actual_count,备注
76,https://www.indiegogo.com//projects/veno-gard-kunst-performance-art-festival#/,pending,0,0,
77,https://www.indiegogo.com//projects/christos-liberos-going-to-la#/,pending,0,0,
78,https://www.indiegogo.com//projects/the-love-mark-orlando#/,pending,0,0,
79,https://www.indiegogo.com//projects/home-brewer-s-formulary-poster--2#/,pending,0,0,
80,https://www.indiegogo.com//projects/help-champaign-paper-do-epic-shit#/,pending,0,0,
81,https://www.indiegogo.com//projects/artist-in-need--11#/,pending,0,0,
82,https://www.indiegogo.com//projects/skyriano--2#/,pending,0,0,
83,https://www.indiegogo.com//projects/effigy-midburn-2017#/,pending,0,0,
84,https://www.indiegogo.com//projects/star-wars-pin-badges--2#/,pending,0,0,
85,https://www.indiegogo.com//projects/best-little-s-morehaus-on-the-playa#/,pending,0,0,
86,https://www.indiegogo.com//projects/raise-money-for-adl#/,pending,0,0,
87,https://www.indiegogo.com//projects/worlds-first-photographic-cooking-kit#/,pending,0,0,
88,https://www.indiegogo.com//projects/cyberpunk-babes-and-lovecraftian-horrors#/,pending,0,0,
89,https://www.indiegogo.com//projects/courier-the-animated-film#/,pending,0,0,
90,https://www.indiegogo.com//projects/save-sfai#/,pending,0,0,
91,https://www.indiegogo.com//projects/omigo-original-design#/,pending,0,0,
92,https://www.indiegogo.com//projects/mini-castle-buildable-miniature-castles#/,pending,0,0,
93,https://www.indiegogo.com//projects/tiffs-treats-n-tings#/,pending,0,0,
94,https://www.indiegogo.com//projects/wajda-art-an-unique-cinematography-project#/,pending,0,0,
95,https://www.indiegogo.com//projects/sophie-s-island#/,pending,0,0,
96,https://www.indiegogo.com//projects/--2846877#/,pending,0,0,
97,https://www.indiegogo.com//projects/i-m-the-guy-that-sold-1-000-raccoon-penis-bones#/,pending,0,0,
98,https://www.indiegogo.com//projects/free-squirt-burning-man-art-2018#/,pending,0,0,
99,https://www.indiegogo.com//projects/all-done--2#/,pending,0,0,
100,https://www.indiegogo.com//projects/the-dreamscape-tarot-deck#/,pending,0,0,
101,https://www.indiegogo.com//projects/art-begets-art-one-artist-s-inspiration-art-book#/,pending,0,0,
102,https://www.indiegogo.com//projects/making-more-velvet-worm-enamel-pins#/,pending,0,0,
103,https://www.indiegogo.com//projects/the-past-and-coming-melt--3#/,pending,0,0,
104,https://www.indiegogo.com//projects/a-journey-in-drawing-of-nature-and-creatures#/,pending,0,0,
105,https://www.indiegogo.com//projects/apoya-la-sangre-para-transformar-vidas#/,pending,0,0,
106,https://www.indiegogo.com//projects/unique-art-space-for-everyone#/,pending,0,0,
107,https://www.indiegogo.com//projects/herstel-de-fontana-monumentale-della-barcaccia#/,pending,0,0,
108,https://www.indiegogo.com//projects/dream-start#/,pending,0,0,
109,https://www.indiegogo.com//projects/smartbag#/,pending,0,0,
110,https://www.indiegogo.com//projects/bored-bulls-nfts--2#/,pending,0,0,
111,https://www.indiegogo.com//projects/hanoman-art-space-ubud#/,pending,0,0,
112,https://www.indiegogo.com//projects/electric-envy-tattoo-spa-biloxi--2#/,pending,0,0,
113,https://www.indiegogo.com//projects/las-vegas-art-gallery#/,pending,0,0,
114,https://www.indiegogo.com//projects/museum-of-creative-human-art#/,pending,0,0,
115,https://www.indiegogo.com//projects/brighter-future--12#/,pending,0,0,
116,https://www.indiegogo.com//projects/artroom24-online-social-marketplace-for-artist#/,pending,0,0,
117,https://www.indiegogo.com//projects/poetry-of-future#/,pending,0,0,
118,https://www.indiegogo.com//projects/publication-of-the-catalog#/,pending,0,0,
119,https://www.indiegogo.com//projects/a-la-porte-rendons-montreal-accessible-a-tous#/,pending,0,0,
120,https://www.indiegogo.com//projects/sponsorship#/,pending,0,0,
